Size, Seq, Par, Libc
2000000, 0.314981, 0.305152, 0.347487
2000000, 0.329690, 0.307531, 0.318863
2000000, 0.340440, 0.304647, 0.298532
2000000, 0.329255, 0.320148, 0.247745
2000000, 0.340730, 0.308334, 0.264654
2000000, 0.323001, 0.292999, 0.287550
2000000, 0.324635, 0.300714, 0.257823
2000000, 0.347825, 0.293482, 0.258961
2000000, 0.326011, 0.305204, 0.297059
2000000, 0.331122, 0.295275, 0.264881
2000000, 0.314468, 0.298849, 0.319489
2000000, 0.342480, 0.314508, 0.262418
2000000, 0.318926, 0.301756, 0.260949
2000000, 0.322975, 0.292185, 0.266784
2000000, 0.321238, 0.297101, 0.284668
2000000, 0.339603, 0.301463, 0.282762
2000000, 0.334863, 0.310112, 0.281356
2000000, 0.349918, 0.331576, 0.265403
2000000, 0.338312, 0.300331, 0.296844
2000000, 0.327650, 0.304310, 0.258047
10000, 0.000990, 0.058184, 0.001169
10000, 0.001132, 0.057690, 0.000874
10000, 0.001191, 0.054779, 0.000990
10000, 0.001178, 0.060109, 0.001211
10000, 0.001163, 0.050607, 0.000873
10000, 0.001155, 0.063295, 0.000862
10000, 0.001153, 0.057617, 0.000859
10000, 0.001335, 0.058014, 0.000863
10000, 0.001159, 0.057344, 0.000875
10000, 0.001176, 0.052575, 0.000910
10000, 0.001151, 0.050166, 0.000876
10000, 0.001195, 0.059465, 0.000931
10000, 0.001378, 0.054609, 0.000879
10000, 0.001141, 0.057179, 0.000899
10000, 0.001214, 0.053854, 0.000863
10000, 0.001200, 0.054343, 0.000896
10000, 0.001147, 0.045059, 0.001051
10000, 0.001171, 0.055895, 0.000920
10000, 0.001174, 0.043567, 0.000905
10000, 0.001175, 0.048498, 0.000879
100000, 0.014463, 0.059064, 0.012842
100000, 0.015928, 0.060483, 0.011023
100000, 0.014087, 0.066840, 0.011372
100000, 0.014304, 0.075854, 0.010887
100000, 0.013506, 0.065545, 0.010987
100000, 0.013097, 0.072102, 0.011395
100000, 0.012876, 0.074159, 0.011067
100000, 0.014434, 0.062858, 0.011418
100000, 0.013899, 0.066752, 0.011200
100000, 0.014592, 0.075599, 0.013669
100000, 0.014683, 0.079868, 0.013161
100000, 0.014878, 0.074717, 0.012248
100000, 0.014626, 0.081018, 0.012436
100000, 0.015044, 0.068974, 0.013337
100000, 0.014463, 0.070950, 0.010990
100000, 0.014688, 0.079685, 0.013062
100000, 0.017017, 0.096350, 0.014159
100000, 0.017772, 0.074404, 0.011082
100000, 0.015600, 0.120643, 0.018334
100000, 0.014458, 0.083814, 0.014714
50000, 0.007977, 0.067402, 0.005679
50000, 0.007158, 0.066728, 0.005235
50000, 0.007325, 0.069474, 0.005412
50000, 0.007015, 0.069362, 0.005719
50000, 0.006906, 0.083130, 0.005170
50000, 0.006803, 0.062490, 0.005770
50000, 0.007904, 0.079969, 0.005235
50000, 0.006778, 0.072966, 0.005442
50000, 0.007017, 0.071118, 0.005218
50000, 0.007799, 0.066783, 0.005184
50000, 0.006972, 0.084413, 0.005591
50000, 0.008632, 0.083170, 0.005204
50000, 0.007036, 0.068883, 0.005185
50000, 0.006874, 0.063211, 0.005094
50000, 0.007306, 0.057949, 0.005146
50000, 0.007022, 0.057908, 0.005577
50000, 0.006981, 0.051014, 0.005003
50000, 0.006673, 0.052939, 0.005924
50000, 0.008124, 0.049591, 0.005305
50000, 0.006694, 0.048103, 0.005196
200000, 0.030999, 0.075144, 0.023532
200000, 0.027064, 0.070731, 0.023864
200000, 0.032113, 0.076012, 0.025479
200000, 0.029808, 0.076853, 0.025309
200000, 0.029787, 0.079574, 0.024989
200000, 0.029335, 0.070396, 0.024075
200000, 0.029485, 0.074358, 0.028560
200000, 0.029469, 0.072787, 0.023342
200000, 0.029907, 0.067829, 0.022867
200000, 0.028732, 0.070362, 0.022309
200000, 0.033408, 0.120658, 0.024523
200000, 0.031105, 0.095007, 0.026094
200000, 0.030453, 0.082840, 0.024841
200000, 0.030556, 0.075984, 0.023798
200000, 0.028560, 0.075328, 0.024693
200000, 0.030299, 0.092053, 0.027264
200000, 0.030776, 0.088525, 0.043498
200000, 0.043737, 0.074374, 0.024782
200000, 0.030385, 0.093488, 0.027316
