Size, Seq, Par, Libc
100, 0.000007, 0.009340, 0.000006
100, 0.000006, 0.008661, 0.000006
100, 0.000006, 0.007953, 0.000006
100, 0.000006, 0.008923, 0.000006
100, 0.000007, 0.008000, 0.000006
1000, 0.000089, 0.028105, 0.000078
1000, 0.000090, 0.022300, 0.000078
1000, 0.000089, 0.021417, 0.000082
1000, 0.000090, 0.028134, 0.000080
1000, 0.000091, 0.024479, 0.000076
10000, 0.001158, 0.053926, 0.000868
10000, 0.001138, 0.048098, 0.000895
10000, 0.001191, 0.045027, 0.000868
10000, 0.001165, 0.048633, 0.000856
10000, 0.001135, 0.045704, 0.000950
100000, 0.014365, 0.066397, 0.010863
100000, 0.014893, 0.067083, 0.011154
100000, 0.014134, 0.058355, 0.010969
100000, 0.013807, 0.072812, 0.011186
100000, 0.014290, 0.056907, 0.011387
1000000, 0.166723, 0.168838, 0.131717
1000000, 0.149445, 0.153235, 0.125839
1000000, 0.154596, 0.154927, 0.123952
1000000, 0.150580, 0.172271, 0.125110
1000000, 0.155520, 0.158364, 0.123622
